column_id;station_id;station_name;elevation;start_station_latitude;start_station_longitude
75;815;G gaten;5.834787368774414;60.395070112977;5.31879835082907
76;816; stre Murallmenningen nedre;2.442586421966553;60.3951438643433;5.32000232233545
77;817;Nedre Korskirkeallmenning;2.754157781600952;60.3945498525309;5.32704998157237
78;818;V gsallmenningen;5.153427600860596;60.393689548634;5.3265806966931
79;819;Thorm hlens gate;5.057930469512939;60.3831624411232;5.32405306731789
80;1043;Comfort Hotel Bergen;5.284099578857422;60.3962244616262;5.31538470378882
81;1044;Geofysen;19.98469352722168;60.3842937697979;5.3304508459729
82;1045;Damsg rdsveien 2;2.917461156845093;60.3780219879812;5.32938304810233
83;1046;Ole Vigs gate;15.21048450469971;60.3859228752076;5.32143171781945
84;1047;Welhavens gate 64;10.48539352416992;60.3844511478995;5.32444072627823
85;1048; vre Korskirkeallmenning;5.541669845581055;60.3950994857218;5.32864508737634
86;1816;Hansaparken;23.26834106445312;60.3860441221001;5.34925389014126
87;1887;Puddefjordsbroen;15.05699920654297;60.3859161870034;5.31920693344026
88;1888;Bergen Jernbanestasjon II;4.466312408447266;60.3906650867479;5.33302716958599
89;1889;Nordnes Sj bad;6.036721706390381;60.39923;5.302345
90;1890;Christian Michelsens institutt;6.291133880615234;60.3897102861119;5.31404187320126
91;1891;Rosenbergsgaten;13.2091121673584;60.389046875094;5.32188296793882
92;1892;Neumanns gate II;6.980060577392578;60.3909791542384;5.32065617207058
93;1893;Haukelandshallen;23.91496658325195;60.370493777026;5.35384648964728
94;1894;Kong Oscars gate;7.345515727996826;60.393323250707;5.33065415534455
95;1895;Kirkegaten;22.26394271850586;60.4056878734285;5.32565891038104
96;1896;Takhagen p  Nordnes;18.76628303527832;60.3988645345499;5.30641087132827
97;1897;NHH;53.77416229248047;60.4233434332928;5.30307067600609
98;1898;Kronstad;24.18933296203613;60.3720506380196;5.3526599704085
99;1899;Camilla Colletts gate;26.87513732910156;60.3721413880154;5.34656801288506
100;1900;Tonningneset;2.260911226272583;60.3795760569961;5.34465501719899
101;2313;Solheimsviken;3.877585649490356;60.3770816927556;5.33557545885279
102;2314;Kalfarveien 31;19.68336486816406;60.388242218095;5.34094712971887
103;2321;Damsg rdsveien 125;3.71924614906311;60.3842265004398;5.31148711402295
104;2322;H yteknologisenteret;2.156671524047852;60.3817495855106;5.33169865504178
105;2336;M llestranden;3.008924007415771;60.3800444026394;5.35082358667822
106;2338;Bontelabo;2.066348075866699;60.4017576434867;5.31656230063842
107;2346;Gamle Bergen;16.10560035705566;60.4183082183195;5.30994620328124
108;2352;Bontelabo 8;1.751921057701111;60.4024814997634;5.3164711281955
109;3391;Spelhaugen;42.02727890014648;60.3497005843072;5.27862685234538
110;3392;S lemyr busstopp;52.44524765014648;60.3454585991698;5.29712189935455
111;3393;Ortustranden;37.0529899597168;60.3410305375909;5.29100614438133
112;3394;Folke Bernadottesvei 38;41.47233581542969;60.3513113866534;5.28994278839818
113;3395;Oasen;37.52058792114258;60.3487703798813;5.28817268619642
114;3396;Kronstad bybanestopp;22.81353187561035;60.3717868750871;5.34955288571925
115;3397;Kristianborg bybanestopp;19.20401763916016;60.3578;5.34207
116;3398;S len;34.59872436523438;60.3454106544575;5.28332212346433
117;3399;Ortun Sv mmehall;35.88456344604492;60.3451502381384;5.2866691586226
118;3400;Lynghaugparken;43.50562286376953;60.3547618626122;5.29304994675232
119;3436;Dag Hammarskj ldsvei 73;57.73280715942383;60.3526479659848;5.2986802265051
120;3437;Lynghaug Borettslag;54.14722442626953;60.3544541140124;5.29918033656108
121;3438;Fyllingsdalen bussterminal;41.51133346557617;60.3493;5.28849
122;3610;Vestlund Borettslag;101.1040573120117;60.3604642287161;5.29012621239175
123;3724;Holtet Borettslag;53.47636413574219;60.3472201128313;5.27317403425062
